ID_LEXEMA 	LÍNEA 	COLUMNA 	TOKEN                	LEXEMA
-------------------------------------------------------------------------------
1         	2     	2       	FLOAT                	float
2         	2     	7       	SEPARATOR            	~
3         	2     	8       	ID                   	func1
4         	2     	13      	LPAR                 	<|
5         	2     	15      	CHAR                 	char
2         	2     	19      	SEPARATOR            	~
6         	2     	20      	ID                   	x22
7         	2     	23      	RPAR                 	|>
8         	2     	25      	LBLOCK               	|:
1         	3     	2       	FLOAT                	float
2         	3     	7       	SEPARATOR            	~
9         	3     	8       	ID                   	a
10        	3     	9       	ASSIGN               	<-
11        	3     	11      	MINUS                	-
12        	3     	12      	FLOAT_LIT            	0.01
13        	3     	16      	EXCLAMATION          	!
5         	4     	2       	CHAR                 	char
2         	4     	6       	SEPARATOR            	~
14        	4     	7       	ID                   	_x22_
10        	4     	12      	ASSIGN               	<-
15        	4     	14      	CHAR_LIT             	'a'
13        	4     	17      	EXCLAMATION          	!
5         	5     	2       	CHAR                 	char
2         	5     	6       	SEPARATOR            	~
16        	5     	7       	ID                   	_miChar_
10        	5     	15      	ASSIGN               	<-
17        	5     	17      	CHAR_LIT             	'!'
13        	5     	20      	EXCLAMATION          	!
5         	6     	2       	CHAR                 	char
2         	6     	6       	SEPARATOR            	~
18        	6     	7       	ID                   	_miChar2_
10        	6     	16      	ASSIGN               	<-
17        	6     	18      	CHAR_LIT             	'!'
13        	6     	21      	EXCLAMATION          	!
19        	7     	2       	INT                  	int
2         	7     	5       	SEPARATOR            	~
20        	7     	6       	ID                   	_x30_
10        	7     	11      	ASSIGN               	<-
11        	7     	13      	MINUS                	-
21        	7     	14      	INT_LIT              	1
13        	7     	15      	EXCLAMATION          	!
22        	8     	2       	BOOL                 	bool
2         	8     	6       	SEPARATOR            	~
23        	8     	7       	ID                   	_x40_
10        	8     	12      	ASSIGN               	<-
24        	8     	14      	BOOL_LIT             	false
13        	8     	19      	EXCLAMATION          	!
1         	9     	2       	FLOAT                	float
2         	9     	7       	SEPARATOR            	~
25        	9     	8       	ID                   	_x50_
26        	9     	13      	LBRACKET             	<<
27        	9     	15      	INT_LIT              	1000
28        	9     	19      	RBRACKET             	>>
26        	9     	21      	LBRACKET             	<<
29        	9     	23      	INT_LIT              	100
28        	9     	26      	RBRACKET             	>>
13        	9     	28      	EXCLAMATION          	!
19        	10    	2       	INT                  	int
2         	10    	5       	SEPARATOR            	~
30        	10    	6       	ID                   	_
10        	10    	7       	ASSIGN               	<-
31        	10    	9       	INT_LIT              	10010
32        	10    	14      	PLUS                 	+
11        	10    	15      	MINUS                	-
31        	10    	16      	INT_LIT              	10010
13        	10    	21      	EXCLAMATION          	!
1         	11    	2       	FLOAT                	float
2         	11    	7       	SEPARATOR            	~
33        	11    	8       	ID                   	_1
10        	11    	10      	ASSIGN               	<-
11        	11    	12      	MINUS                	-
34        	11    	13      	FRAC_LIT             	5//6
32        	11    	17      	PLUS                 	+
35        	11    	18      	FRAC_LIT             	9//16
13        	11    	23      	EXCLAMATION          	!
36        	12    	2       	STRING               	string
2         	12    	8       	SEPARATOR            	~
37        	12    	9       	ID                   	_x51_
10        	12    	14      	ASSIGN               	<-
38        	12    	16      	STRING_LIT           	"Hola a todos los $ que est<<a>> haciendo un compilador nuevo|:n"
13        	12    	81      	EXCLAMATION          	!
39        	13    	2       	IF                   	if
2         	13    	4       	SEPARATOR            	~
4         	13    	5       	LPAR                 	<|
40        	13    	7       	LESS_TE              	less_te
4         	13    	14      	LPAR                 	<|
30        	13    	16      	ID                   	_
41        	13    	17      	COMMA                	,
42        	13    	18      	INT_LIT              	45
7         	13    	20      	RPAR                 	|>
43        	13    	22      	AND                  	@
44        	13    	23      	GREATHER_T           	greather_t
4         	13    	33      	LPAR                 	<|
45        	13    	35      	FLOAT_LIT            	1.2
41        	13    	38      	COMMA                	,
34        	13    	39      	FRAC_LIT             	5//6
7         	13    	43      	RPAR                 	|>
7         	13    	45      	RPAR                 	|>
8         	13    	47      	LBLOCK               	|:
19        	14    	3       	INT                  	int
2         	14    	6       	SEPARATOR            	~
46        	14    	7       	ID                   	y
13        	14    	8       	EXCLAMATION          	!
5         	15    	3       	CHAR                 	char
2         	15    	7       	SEPARATOR            	~
47        	15    	8       	ID                   	x45
